Taxa	phe1	phe2	phe3
Ind217	271.7601496	121.9747409	51.38008302
Ind218	306.1798496	149.7173409	54.04818302
Ind219	275.1728496	115.7934409	53.37968302
Ind220	266.5488496	128.6756409	54.84588302
Ind221	254.9271496	121.9685409	50.53848302
Ind222	252.1053496	125.1911409	51.97018302
Ind223	244.7147496	112.2416409	51.17658302
Ind224	242.9592496	116.3111409	52.61238302
Ind225	243.7000496	112.5646409	48.62408302
Ind226	257.1419496	125.4965409	52.49338302
Ind227	269.5603496	121.6422409	50.70908302
Ind228	271.5748496	119.6239409	52.47258302
Ind229	230.5295496	128.1803409	54.12798302
Ind230	272.5746496	127.3408409	54.20778302
Ind231	235.3934496	104.9626409	49.69508302
Ind232	291.8027496	144.6897409	52.45288302
Ind233	236.8121496	100.7061409	50.93728302
Ind234	242.4073496	111.3876409	50.99528302
Ind235	251.9462496	122.8028409	53.41008302
Ind236	234.0080496	101.0476409	52.82508302
Ind237	264.6698496	118.3781409	52.85168302
Ind238	243.3698496	107.3157409	50.00648302
Ind239	264.4496496	125.0163409	53.26258302
Ind240	261.2099496	114.4736409	52.25488302
Ind241	267.8174496	117.2407409	54.01558302
Ind242	251.4963496	122.2185409	53.22528302
Ind243	268.7365496	127.3891409	54.44708302
Ind244	243.2782496	99.39784095	49.15138302
Ind245	279.1972496	136.8199409	53.80888302
Ind246	225.9068496	85.00494095	50.99528302
Ind247	235.2305496	104.3917409	53.20398302
Ind248	228.5672496	105.6988409	53.17648302
Ind249	255.3606496	120.5743409	52.93148302
Ind250	245.5291496	113.9023409	50.57578302
Ind251	258.9361496	112.4623409	52.77198302
Ind252	248.8038496	110.3078409	53.57468302
Ind253	245.8743496	112.8068409	54.92568302
Ind254	245.7133496	123.6426409	54.60658302
Ind255	252.6065496	120.3159409	53.80888302
Ind256	247.1721496	107.8632409	50.09318302
Ind257	270.9410496	136.0780409	53.35428302
Ind258	234.3407496	101.3641409	50.73118302
Ind259	221.9250496	102.5524409	52.21358302
Ind260	222.0241496	92.84744095	53.12818302
Ind261	227.5887496	99.35654095	49.45318302
Ind262	251.2841496	104.7813409	53.61668302
Ind263	242.0734496	95.67304095	53.25058302
Ind264	257.7121496	100.8083409	53.01128302
Ind265	243.2356496	116.4170409	53.72158302
Ind266	244.1671496	106.9690409	54.44708302
Ind267	232.6911496	90.93124095	49.11488302
Ind268	250.3195496	110.2715409	54.36728302
Ind269	228.7216496	86.08074095	50.05988302
Ind270	203.3725496	78.48024095	54.15208302
Ind271	248.0393496	116.1192409	49.46638302
Ind272	269.6948496	125.8549409	53.17078302
Ind273	274.2262496	117.6255409	53.57688302
Ind274	262.0606496	109.5286409	54.60658302
Ind275	262.4472496	133.3964409	52.13378302
Ind276	275.7667496	130.0697409	53.09098302
Ind277	250.8270496	112.1557409	49.02898302
Ind278	266.8441496	128.9555409	54.68638302
Ind279	252.4402496	106.9118409	50.75588302
Ind280	233.9098496	106.4765409	52.25208302
Ind281	246.4922496	111.5115409	50.11428302
Ind282	246.4863496	106.7833409	50.13968302
Ind283	266.4052496	106.4997409	49.65528302
Ind284	244.9402496	122.3991409	49.74078302
Ind285	249.0472496	114.2117409	50.13968302
Ind286	236.0716496	97.83514095	47.74118302
Ind287	273.4592496	126.1359409	49.86748302
Ind288	228.8183496	86.19384095	47.02878302
Ind289	215.3538496	91.76514095	49.26218302
Ind290	254.9741496	101.1313409	54.28748302
Ind291	273.1092496	111.8217709	53.48988302
Ind292	256.1862496	125.7140409	54.51428302
Ind293	267.3315496	118.5409409	54.35078302
Ind294	246.8934496	105.7139409	48.87588302
Ind295	292.3878496	134.4299409	54.36728302
Ind296	251.6551496	105.4712409	51.65344302
Ind297	245.1979496	101.0344409	53.48988302
Ind298	286.2877496	111.1745409	53.35428302
Ind299	255.7472496	122.5606409	54.44708302
Ind300	262.7002496	112.8832409	53.09368302
Ind301	247.2034496	96.61414095	49.07418302
Ind302	285.9256496	125.0858409	52.25208302
Ind303	249.5181496	96.37144095	50.35318302
Ind304	239.5513496	92.06754095	52.52028302
Ind305	273.7472496	117.2384409	52.90458302
Ind306	272.5455496	114.2763409	54.84588302
Ind307	250.5951496	86.90374095	50.12008302
Ind308	290.3102496	127.7605409	55.24468302
Ind309	251.2713496	90.98694095	50.68538302
Ind310	250.5503496	101.3488409	53.29888302
Ind311	272.6583496	137.7888409	55.40428302
Ind312	245.5605496	118.4607409	50.84008302
Ind313	276.9424496	144.7812409	54.04818302
Ind314	233.7584496	103.6194409	52.65668302
Ind315	241.3779496	107.5557409	53.92588302
Ind316	259.6931496	111.8217709	50.13968302
Ind317	284.9723496	137.5386409	54.82738302
Ind318	260.6394496	105.4339409	52.52398302
Ind319	246.4819496	110.9228409	54.94728302
Ind320	271.5631496	121.3656409	50.21938302
Ind321	233.8867496	84.11234095	48.07898302
Ind322	234.6969496	96.62584095	48.94318302
Ind323	266.6572496	112.9233409	50.83128302
Ind324	255.6666496	115.4713409	53.96848302
Ind325	222.7911496	85.94754095	50.14008302
Ind326	311.1920319	167.4469151	59.45808461
Ind327	280.8987319	142.8296151	55.09698461
Ind328	296.7896319	148.8878151	59.05468461
Ind329	288.4614319	135.4046151	57.85138461
Ind330	304.9966319	151.4478151	59.22848461
Ind331	294.3079319	167.0005151	61.94318461
Ind332	294.6155319	152.1558151	60.10168461
Ind333	283.7712319	134.8079151	55.53968461
Ind334	313.6174319	184.1392151	59.15778461
Ind335	289.2732319	142.6086151	57.62178461
Ind336	282.7127319	148.2560151	58.46938461
Ind337	303.4158319	160.0661151	60.37618461
Ind338	267.5138319	139.7268151	61.74978461
Ind339	303.9712319	151.8014151	57.62178461
Ind340	275.6434319	125.1952151	54.17888461
Ind341	293.6313319	128.9961151	57.62178461
Ind342	280.0015319	129.0845151	57.39230461
Ind343	284.4505319	141.5755151	59.46238461
Ind344	291.2097319	152.3517151	58.87398461
Ind345	291.4523319	144.4206151	58.08088461
Ind346	290.7093319	139.5913151	56.71428461
Ind347	313.7928319	165.9392151	58.64098461
Ind348	280.9842319	127.7586151	57.62178461
Ind349	281.3862319	134.9317151	58.18648461
Ind350	292.9477319	149.0171151	58.99898461
Ind351	278.8767319	138.6625151	60.50418461
Ind352	289.3841319	141.0705151	52.80448461
Ind353	263.8339319	130.9629151	50.21478461
Ind354	270.8839319	128.9670151	53.29008461
Ind355	269.7956319	123.1547151	52.56168461
Ind356	288.6586319	128.5252151	54.42298461
Ind357	258.5504319	137.9728151	54.58488461
Ind358	272.9903319	129.3928151	54.62708461
Ind359	252.1514319	111.2291151	51.15688461
Ind360	291.4675319	152.0472151	54.52268461
Ind361	261.6551319	109.5086151	53.05028461
Ind362	250.3814319	109.2163151	55.95938461
Ind363	280.1333319	129.2780151	55.16868461
Ind364	259.7648319	128.6476151	56.93178461
Ind365	294.1440319	128.7751151	56.47418461
Ind366	260.3002319	119.9024151	54.87528461
Ind367	274.3798319	119.8571151	57.16428461
Ind368	280.8811319	115.5457151	57.02038461
Ind369	285.3996319	118.5705151	57.43981461
Ind370	262.6284319	128.6069151	57.85798461
Ind371	276.7126319	125.2086151	57.38575461
Ind372	246.2602319	107.6222151	53.32718461
Ind373	299.8579319	144.7324151	57.26038461
Ind374	274.1796319	119.5814151	54.68148461
Ind375	254.6348319	108.4985151	54.47278461
Ind376	272.1954319	128.1201151	57.97768461
Ind377	258.4499319	120.3650151	59.14458461
Ind378	297.6904319	137.8796151	54.86748461
Ind379	264.2930319	119.6512151	53.07148461
Ind380	272.4453319	126.4600151	55.96068461
Ind381	277.3952319	123.8693151	55.32658461
Ind382	297.6049319	126.2559151	56.70368461
Ind383	267.0116319	133.4924151	57.49903461
Ind384	275.4842319	128.1964151	56.78108461
Ind385	241.7630319	107.1241151	53.47118461
Ind386	300.1111319	146.2466151	56.30238461
Ind387	273.8377319	121.4481151	56.86108461
Ind388	255.5151319	111.9095151	54.02878461
Ind389	289.1130319	134.4986151	56.01518461
Ind390	265.4802319	126.4021151	58.68588461
Ind391	277.7797319	128.6425151	55.78558461
Ind392	255.0772319	112.9528151	52.94808461
Ind393	277.5635319	127.3460151	57.97768461
Ind394	272.2679319	122.4992151	58.53998461
Ind395	283.5478319	125.7256151	57.85138461
Ind396	273.9848319	141.9535151	59.53328461
Ind397	253.6769319	124.4162151	59.03588461
Ind398	269.9487319	125.7557151	54.72058461
Ind399	297.6069319	155.2982151	57.14368461
Ind400	260.1122319	108.5995151	56.93328461
Ind401	246.5345319	113.9752151	56.70828461
Ind402	255.1062319	119.3539151	58.92958461
Ind403	237.4602319	109.9076151	59.51788461
Ind404	279.7879319	135.0068151	54.63798461
Ind405	264.1002319	131.4568151	52.02608461
Ind406	288.7259319	135.4991151	55.16848461
Ind407	279.4347319	133.2865151	54.87048461
Ind408	294.0602319	135.5833151	55.19968461
Ind409	267.6534319	139.2497151	56.47418461
Ind410	278.4206319	135.5372151	56.70368461
Ind411	268.5361319	130.8776151	52.02608461
Ind412	301.2421319	156.3606151	55.01298461
Ind413	263.0088319	124.6517151	52.58618461
Ind414	273.0131319	135.8810151	54.42298461
Ind415	292.4568319	141.7674151	57.65658461
Ind416	266.7326319	137.0702151	59.02178461
Ind417	294.1868319	135.4488151	58.31038461
Ind418	270.8050319	125.0868151	55.96068461
Ind419	280.8201319	134.5237151	58.71218461
Ind420	289.2732319	131.2059151	58.53998461
Ind421	288.3759319	132.7970151	58.76948461
Ind422	277.9023319	143.2022151	61.22088461
Ind423	286.0785319	137.2922151	59.46658461
Ind424	281.5052319	129.8907151	57.13128461
Ind425	311.2533319	161.9525151	58.81218461
Ind426	264.6941319	126.6968151	58.42598461
Ind427	284.8189319	144.7742151	59.68758461
Ind428	255.5475319	126.2854151	62.21238461
Ind429	280.0946319	130.8991151	58.95498461
Ind430	260.6035319	117.4609151	55.78558461
Ind431	281.5456319	134.3321151	59.44048461
Ind432	274.5232319	124.4609151	58.52318461
Ind433	297.6476319	132.8412151	59.22848461
Ind434	285.6407319	149.6789151	60.18448461
Ind435	280.1340319	132.2883151	59.76418461
Ind436	258.8311319	110.7760151	55.75968461
Ind437	307.0643319	156.4953151	60.16888461
Ind438	272.5243319	113.0854151	56.47418461
Ind439	258.1788319	123.0834151	58.95948461
Ind440	287.4359319	145.7576151	60.37618461
Ind441	265.9412319	132.4802151	62.22878461
Ind442	278.5488119	143.8461151	55.55608461
Ind443	248.5984319	120.1847151	52.23798461
Ind444	275.0161319	132.9469151	56.36528461
Ind445	271.0837319	129.9304151	54.98948461
Ind446	277.2399319	133.3741151	56.85088461
Ind447	273.0709319	145.7278151	56.93178461
Ind448	277.6342319	139.5376151	56.76988461
Ind449	256.9668319	123.4579151	53.20188461
Ind450	286.3652319	145.4877151	57.07618461
Ind451	256.1778319	125.7837151	54.14128461
Ind452	250.6330319	121.0470151	55.39418461
Ind453	273.4862319	136.2403151	55.71788461
Ind454	255.3960319	124.2884151	58.30748461
Ind455	293.7595319	153.2599151	58.99898461
Ind456	272.6525319	131.2059151	56.70368461
Ind457	283.9395319	139.8075151	59.18948461
Ind458	284.2314319	125.7698151	58.31038461
Ind459	288.0768319	139.2497151	58.53998461
Ind460	291.4818319	150.8667151	61.46368461
Ind461	282.5077319	139.6015151	59.35958461
Ind462	272.2087319	125.2944151	55.63688461
Ind463	309.3747319	159.4154151	59.05468461
Ind464	271.2425319	125.2394151	57.85138461
Ind465	260.6126319	120.5333151	58.59978461
Ind466	287.9454319	142.0213151	59.71078461
Ind467	265.8764319	129.7095151	61.00728461
Ind468	267.9525319	141.1943151	53.26078461
Ind469	268.1488319	139.1306151	57.25318461
Ind470	260.6463319	128.7751151	56.47418461
Ind471	268.8071319	135.1836051	55.78558461
Ind472	250.1230319	142.4500151	57.74198461
Ind473	271.3493319	142.3876151	57.39230461
Ind474	256.6454319	118.5071151	52.58618461
Ind475	281.0104319	158.2492151	57.25378461
Ind476	249.3664319	115.3836151	54.63798461
Ind477	253.4246319	129.3502151	55.23228461
Ind478	266.7847319	140.1925151	58.31038461
Ind479	278.4760419	135.1821651	56.31258461
Ind480	259.9439319	121.5598151	53.70988461
Ind481	286.2004319	138.4805151	58.37578461
Ind482	270.4423319	124.9910151	57.41732461
Ind483	280.5412319	122.8780151	56.87978461
Ind484	274.1637319	144.7672151	57.58018461
Ind485	270.8997319	134.8112151	58.87398461
Ind486	273.2391319	125.0519151	53.62008461
Ind487	295.2985319	159.1619151	57.41732461
Ind488	262.2271319	120.6872151	54.17888461
Ind489	254.3805319	119.9466151	56.06508461
Ind490	249.1031319	120.2486151	58.95498461
Ind491	294.4431319	158.3425151	57.39230461
Ind492	276.4124319	137.3934151	55.32658461
Ind493	260.0928319	120.6924151	58.90648461
Ind494	279.9734319	133.3722151	57.65658461
Ind495	289.3586319	134.2997151	58.53998461
Ind496	290.3861319	158.4361151	58.75038461
Ind497	284.9328319	145.2521151	58.64318461
Ind498	271.0319319	120.2963151	55.82378461
Ind499	308.6375319	163.4932151	57.66008461
Ind500	263.5196319	123.7257151	55.78558461
Ind501	266.2785319	132.4160151	57.57918461
Ind502	306.9621319	163.1157151	59.45808461
Ind503	255.2390319	137.1068151	59.53878461
Ind504	291.7513319	142.1666151	56.70368461
Ind505	266.9471319	121.5364151	55.38228461
Ind506	287.9487319	135.2720021	57.85138461
Ind507	274.9170319	126.6095151	56.93328461
Ind508	287.3291319	132.9231151	58.07968461
Ind509	280.0315319	147.1595151	58.87398461
Ind510	287.5164319	143.5331151	60.25128461
Ind511	279.6372319	126.0968151	55.31318461
Ind512	305.0452319	147.8478151	57.69258461
Ind513	268.1647319	109.0568151	57.53596461
Ind514	259.6692319	120.6815151	57.34758461
Ind515	277.6629319	147.7834151	59.35828461
Ind516	253.5033319	125.9910151	59.11988461
Ind517	285.9405319	130.4104151	57.39230461
Ind518	294.6140319	141.5037151	60.14658461
Ind519	281.7106319	132.3108151	59.45808461
Ind520	302.3903319	140.5314151	61.29428461
Ind521	288.9425319	154.6271151	60.49258461
Ind522	283.6905319	143.1463151	59.92608461
Ind523	276.7654319	125.7195151	56.69308461
Ind524	310.5939319	165.1208151	59.62978461
Ind525	275.8997319	128.5541151	58.08088461
Ind526	264.9222319	126.0768151	58.71218461
Ind527	285.3851319	149.8568151	60.14658461
Ind528	257.8919319	130.6077151	62.19198461
Ind529	278.2924319	128.4216151	55.32658461
Ind530	266.1688319	123.2528151	54.43848461
Ind531	286.5452319	135.1305151	58.79308461
Ind532	274.9726319	119.0144151	57.32258461
Ind533	287.6418319	123.9570151	57.34758461
Ind534	271.8302319	138.8191151	59.95068461
Ind535	277.2294319	132.9589151	58.30748461
Ind536	262.9665319	114.4204151	55.07048461
Ind537	302.0889319	151.5103151	57.99388461
Ind538	266.1153319	119.8917151	57.39230461
Ind539	264.5223319	115.8661151	56.64078461
Ind540	277.3331319	130.3253151	57.14008461
Ind541	277.1027319	136.6125151	59.41368461
Ind542	307.0766319	142.8997151	56.78108461
Ind543	267.8751319	118.4407151	54.75308461
Ind544	296.6399319	134.9000151	57.73838461
Ind545	280.7872319	121.3683151	57.44198461
Ind546	290.2120319	127.0410151	58.33668461
Ind547	299.9690319	151.7440151	60.01198461
Ind548	291.5252319	141.2576151	59.17428461
Ind549	282.2776319	122.4517151	54.27368461
Ind550	322.8583319	154.9815151	57.97768461
Ind551	282.9065319	126.2951151	56.63598461
Ind552	271.9097319	125.2229151	57.86848461
Ind553	287.6516319	137.6196151	56.45508461
Ind554	266.2974319	120.1438151	59.77268461
Ind555	290.6958319	148.2720151	56.66138461
Ind556	273.4766319	125.4549151	54.54548461
Ind557	277.5907319	131.9397151	57.94378461
Ind558	274.9170319	123.6042151	57.16278461
Ind559	286.3678319	135.2278051	56.70368461
Ind560	285.9751319	151.6068151	59.16708461
Ind561	282.0331319	133.5628151	57.85798461
Ind562	262.8700319	116.1844151	55.07788461
Ind563	314.7947319	165.1395151	58.33668461
Ind564	280.7965319	131.3029151	55.38638461
Ind565	255.5639319	120.7756151	56.10348461
Ind566	280.9842319	147.5144151	58.53998461
Ind567	270.1910319	128.3782151	59.41368461
Ind568	293.2468319	163.4693151	58.76948461
Ind569	263.6371319	135.0510151	56.01518461
Ind570	293.3683319	156.7409151	61.44788461
Ind571	283.2060319	144.9510151	59.68758461
Ind572	283.2701319	153.2157151	59.45808461
Ind573	305.2389319	179.6551151	63.36248461
Ind574	281.9785319	149.4034151	60.49058461
Ind575	291.7676319	150.5988151	58.33668461
Ind576	304.0026319	170.7298151	60.71258461
Ind577	280.5287319	140.8994151	60.23278461
Ind578	274.3887319	135.4969151	58.08308461
Ind579	284.0943319	153.0851151	61.52378461
Ind580	260.0423319	144.4012151	62.76418461
Ind581	307.6295319	168.6116151	59.89228461
Ind582	283.6759319	144.8863151	57.54656461
Ind583	278.4934319	135.2627151	59.46238461
Ind584	321.0833319	167.6237151	62.21238461
Ind585	300.6522319	170.0775151	62.56338461
Ind586	281.3207319	152.6662151	57.41663461
Ind587	279.8416319	146.4803151	60.17078461
Ind588	274.5010319	157.4685151	64.03448461
Ind589	261.8028837	125.6170776	58.53333333
Ind590	252.2631837	121.8532776	58.49863333
Ind591	238.2636837	114.9419776	58.53333333
Ind592	237.5510837	110.1220776	56.10953333
Ind593	252.7330837	124.7289776	54.67603333
Ind594	238.3735837	120.1876776	56.58733333
Ind595	263.6075837	135.3286776	56.10953333
Ind596	227.1306837	109.0879776	55.63163333
Ind597	250.6426837	122.5960776	56.10953333
Ind598	241.9188837	115.4718776	58.53333333
Ind599	260.0179837	126.7110776	58.02083333
Ind600	235.6507837	107.6229776	54.19823333
Ind601	246.9266837	112.3894776	53.72033333
Ind602	256.0482837	118.1364776	55.15383333
Ind603	248.4888837	130.2873776	56.58733333
Ind604	268.3374837	131.5368776	55.63163333
Ind605	254.1900837	115.0341776	66.14383333
Ind606	250.7271837	114.9048776	58.49863333
